commit	val_auc	val_bacc	test_auc	test_bacc	composite	delta	vram_gb	elapsed_min	status	description
0d42217	0.863414	0.776430	0.872117	0.826399	0.849258	-0.000000	0.5	67.0	discard	rdrop_a1_k8_g1_no_inst_gc05
0d42217	0.848920	0.733990	0.827226	0.739289	0.783258	-0.066000	0.9	59.4	discard	rdrop_a1_clam_mb_enhanced_gc05
0d42217	0.872717	0.791019	0.864721	0.745851	0.805286	-0.043972	0.5	71.4	discard	rdrop_a1_mixup02_gc05
0d42217	0.846324	0.767800	0.858646	0.768198	0.813422	-0.035836	0.5	93.5	discard	rdrop_a1_ema099_gc05
0d42217	0.862581	0.790224	0.860648	0.789684	0.825166	-0.024092	0.5	73.7	discard	rdrop_a1_patchdrop01_gc05
0d42217	0.866844	0.790224	0.864892	0.780586	0.822739	-0.026519	0.5	72.0	discard	rdrop_a1_ls005_gc05
0d42217	0.863414	0.736766	0.814908	0.739519	0.777214	-0.072044	0.5	68.7	discard	rdrop_a1_clam_sb_gc05
0d42217	0.863414	0.736766	0.814908	0.739519	0.777214	-0.072044	0.5	68.8	discard	rdrop_a1_clam_sb_gc05
0d42217	0.866048	0.767677	0.868201	0.791916	0.830059	-0.019199	0.5	63.5	discard	rdrop_a1_cosine2x_gc05
7b4f702	0.832285	0.759492	0.833636	0.701961	0.767799	-0.081459	3.8	54.9	discard	rdrop_a1_trans_mil
7b4f702	0.862618	0.788367	0.875849	0.798017	0.836933	-0.012325	0.5	63.6	discard	rdrop_a1_d025_g1_no_inst_gc05
7b4f702	0.864703	0.791019	0.863462	0.791695	0.827578	-0.021680	0.5	69.7	discard	rdrop_a1_g15_no_inst_gc05
7b4f702	0.863149	0.788367	0.876184	0.802261	0.839223	-0.010035	0.5	65.7	discard	rdrop_a3_g1_no_inst_gc05
7b4f702	0.863414	0.784123	0.874103	0.798017	0.836060	-0.013198	0.9	68.5	discard	rdrop_a1_feat_perturb001_gc05
7b4f702	0.867999	0.792327	0.864292	0.789431	0.826862	-0.022396	0.5	70.8	discard	rdrop_a1_ce_weighted_gc05
7b4f702	0.862258	0.786652	0.844348	0.772287	0.808318	-0.040940	0.4	74.1	discard	rdrop_a1_ab_mil_gc05
7b4f702	0.863395	0.788367	0.870352	0.798813	0.834582	-0.014676	0.7	81.6	discard	rdrop_a1_featdrop005_gc05
7b4f702	0.865801	0.792876	0.868356	0.801399	0.834877	-0.014381	0.6	86.3	discard	rdrop_a1_patchsub85_gc05
7b4f702	0.801146	0.656991	0.822900	0.660035	0.741468	-0.107790	0.4	81.9	discard	hibou_l_rdrop_a1_g1_no_inst_gc05
7b4f702	0.850436	0.763026	0.814194	0.746672	0.780433	-0.068825	0.4	85.0	discard	uni_v2_rdrop_a1_benchmark_cfg
7b4f702	0.852804	0.755741	0.849100	0.725802	0.787451	-0.061807	0.5	105.6	discard	uni_v2_rdrop_a1_g1_no_inst_gc05
7b4f702	0.855892	0.729358	0.822246	0.713796	0.768021	-0.081237	0.5	91.0	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+conf_penalty_01 (add -0.1*entropy(softmax) to encourage calibration)
7b4f702	0.863945	0.776430	0.873772	0.818707	0.846239	-0.003019	0.5	95.8	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+dropout_warmup (d:0->0.1 over 30ep, learn features first then regularize)
7b4f702	0.862126	0.788755	0.862947	0.784799	0.823873	-0.025385	0.5	98.5	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05 (seed=43, check seed sensitivity of best config)
7b4f702	0.863679	0.784919	0.877220	0.805709	0.841465	-0.007793	0.4	93.7	discard	hopt1+clam_mb+noise001+focal_g1+no_inst+gc05+dropout_warmup_30ep (alt path from row76, no R-Drop, noise aug + dropout warmup)
7b4f702	0.864210	0.784123	0.872335	0.822951	0.847643	-0.001615	0.5	98.1	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+dropout_warmup_20ep (d:0->0.1 over 20ep)
7b4f702	0.863130	0.784123	0.872689	0.798017	0.835353	-0.013905	0.5	98.8	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+dropout_warmup_40ep (d:0->0.1 over 40ep)
7b4f702	0.863405	0.784123	0.873484	0.805709	0.839597	-0.009661	0.5	96.4	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+dropout_warmup_25ep (d:0->0.1 over 25ep)
7b4f702	0.864210	0.784123	0.874346	0.805709	0.840028	-0.009230	0.5	96.6	discard	hopt1+clam_mb+rdrop_a15+focal_g1+no_inst+gc05+dropout_warmup_20ep (stronger KL + short warmup)
7b4f702	0.865252	0.796324	0.862985	0.776465	0.819725	-0.029533	0.5	100.7	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+dropout_warmup_15ep (d:0->0.1 over 15ep, shorter warmup)
7b4f702	0.863670	0.784123	0.873772	0.798017	0.835894	-0.013364	0.5	80.1	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+d_warmup20+noise001 (combine dropout warmup + noise aug)
7b4f702	0.863679	0.784123	0.872666	0.805709	0.839188	-0.010070	0.5	82.1	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+d_warmup20_target015 (warmup to higher dropout 0.15)
7b4f702	0.866332	0.796324	0.863714	0.801399	0.832557	-0.016701	0.5	99.0	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+d_warmup20+patience15 (warmup + longer patience)
7b4f702	0.862069	0.776554	0.870418	0.829847	0.850133	+0.000875	0.5	89.9	keep	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr (halve LR every 20 epochs after warmup, different decay from cosine)
c7fbf9e	0.862050	0.789428	0.867993	0.801399	0.834696	-0.015437	0.5	65.7	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+d_warmup20 (step LR + dropout warmup, combining two near-misses)
c7fbf9e	0.859416	0.774574	0.869925	0.798813	0.834369	-0.015763	0.5	62.1	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr_15ep (halve every 15 epochs, faster decay)
c7fbf9e	0.862618	0.780674	0.871542	0.805709	0.838626	-0.011507	0.5	306.4	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+tt_dropout_10 (10 forward passes with dropout ON at test time, avg probs)
c7fbf9e	0.860752	0.763433	0.869332	0.819502	0.844417	-0.005715	0.5	70.0	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr_decay03 (halve->0.3x every 20ep, gentler decay)
c7fbf9e	0.862050	0.779083	0.862391	0.806284	0.834338	-0.015795	0.5	71.7	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr_25ep (halve every 25ep, slower decay)
c7fbf9e	0.865801	0.779206	0.864652	0.802040	0.833346	-0.016787	0.5	74.2	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+warm10 (step LR + longer warmup 10ep)
c7fbf9e	0.848844	0.735051	0.861892	0.743906	0.802899	-0.047234	0.5	64.3	discard	uni_v2+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr (winning schedule on 2nd-best encoder)
c7fbf9e	0.867099	0.792876	0.864703	0.799962	0.832332	-0.017800	0.5	73.0	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+flat20_cosine (flat LR 20ep after warmup, then cosine decay)
